replay_id,turn,rating,p1_total_hp,p2_total_hp,hp_difference,p1_fainted,p2_fainted,fainted_difference,has_weather,has_terrain,has_trick_room,p1_active_count,p2_active_count,p1_win
gen9vgc2025regj-2483543415,5,1000,1.58,1.38,0.10000000000000009,2,2,0,0,0,0,2,2,0
gen9vgc2025regj-2483543415,7,1000,0.98,0.0,0.49,2,4,2,0,0,0,2,0,1
gen9vgc2025regj-2483542395,1,1198,2.0,2.0,0.0,0,0,0,0,1,0,2,2,0
gen9vgc2025regj-2483542395,3,1198,3.51,1.6300000000000001,0.9399999999999998,1,0,-1,0,1,0,2,2,0
gen9vgc2025regj-2483542395,5,1198,3.19,2.1799999999999997,0.5050000000000001,1,1,0,0,1,0,2,2,0
gen9vgc2025regj-2483542395,7,1198,3.41,0.62,1.395,1,2,1,0,1,0,2,1,0
gen9vgc2025regj-2483542395,9,1198,3.13,0.0,1.565,2,4,2,0,1,0,2,0,1
gen9vgc2025regj-2483540013,1,1056,2.0,2.0,0.0,1,0,-1,1,1,0,2,2,0
gen9vgc2025regj-2483540013,3,1056,1.98,3.0,-0.51,1,0,-1,1,1,0,2,2,0
gen9vgc2025regj-2483540013,5,1056,2.77,4.3100000000000005,-0.7700000000000002,1,0,-1,1,1,0,2,2,0
gen9vgc2025regj-2483540013,7,1056,2.2800000000000002,3.65,-0.6849999999999998,1,1,0,1,1,0,2,2,0
gen9vgc2025regj-2483540013,9,1056,2.0,3.8899999999999997,-0.9449999999999998,1,1,0,0,1,1,2,2,0
gen9vgc2025regj-2483540013,11,1056,2.7199999999999998,3.49,-0.38500000000000023,1,2,1,0,1,1,2,2,0
gen9vgc2025regj-2483540013,13,1056,2.17,2.81,-0.32000000000000006,1,3,2,0,1,0,2,1,0
gen9vgc2025regj-2483540013,15,1056,1.87,2.1,-0.11499999999999999,1,3,2,0,1,1,2,1,0
gen9vgc2025regj-2483519303,1,1273,1.31,2.36,-0.5249999999999999,0,0,0,0,0,0,2,2,0
gen9vgc2025regj-2483519303,3,1273,1.6099999999999999,2.84,-0.615,1,0,-1,0,0,0,2,2,0
gen9vgc2025regj-2483519303,5,1273,1.0,2.41,-0.7050000000000001,3,1,-2,1,0,0,1,2,0
gen9vgc2025regj-2483519303,7,1273,0.0,2.41,-1.205,4,1,-3,1,0,0,0,2,0
gen9vgc2025regj-2483517727,1,1075,2.0,2.0,0.0,0,0,0,1,0,0,2,2,0
gen9vgc2025regj-2483517727,3,1075,1.4,3.23,-0.915,0,1,1,1,0,0,2,2,0
gen9vgc2025regj-2483516380,1,1294,2.0,0.8899999999999999,0.555,1,0,-1,1,1,0,2,2,0
gen9vgc2025regj-2483516380,3,1294,2.0,0.77,0.615,2,1,-1,1,1,0,2,2,0
gen9vgc2025regj-2483516380,5,1294,0.14,2.1,-0.98,3,1,-2,1,1,0,1,2,0
gen9vgc2025regj-2483516380,7,1294,0.0,2.1,-1.05,4,1,-3,1,1,0,0,2,0
gen9vgc2025regj-2483516282,1,1065,1.95,2.0,-0.025000000000000022,0,0,0,0,0,0,2,2,0
gen9vgc2025regj-2483516282,3,1065,2.17,3.95,-0.8900000000000001,0,1,1,0,0,0,2,2,0
gen9vgc2025regj-2483516282,5,1065,1.56,4.359999999999999,-1.3999999999999997,1,2,1,0,0,0,2,2,0
gen9vgc2025regj-2483516282,7,1065,2.44,4.0,-0.78,2,4,2,0,0,0,2,2,1
gen9vgc2025regj-2483515628,1,1316,3.49,3.0,0.2450000000000001,0,0,0,0,0,1,2,2,0
gen9vgc2025regj-2483515628,3,1316,4.57,3.83,0.3700000000000001,1,1,0,1,1,1,2,1,0
gen9vgc2025regj-2483515393,1,1423,2.0,1.98,0.010000000000000009,0,1,1,0,0,0,2,2,0
gen9vgc2025regj-2483515393,3,1423,3.12,2.06,0.53,0,1,1,0,0,0,2,2,0
gen9vgc2025regj-2483515393,5,1423,3.0,1.99,0.505,1,2,1,0,0,0,2,2,0
gen9vgc2025regj-2483515393,7,1423,2.74,0.55,1.0950000000000002,3,3,0,0,0,0,2,1,0
gen9vgc2025regj-2483515393,9,1423,2.4,0.39,1.005,3,3,0,0,0,0,2,1,0
gen9vgc2025regj-2483515393,11,1423,2.4,0.0,1.2,3,4,1,0,0,0,2,0,1
gen9vgc2025regj-2483515066,1,1058,2.0,2.0,0.0,0,0,0,0,0,0,2,2,0
gen9vgc2025regj-2483515066,3,1058,3.58,1.9300000000000002,0.825,0,0,0,0,0,0,2,2,0
gen9vgc2025regj-2483515066,5,1058,5.5,1.53,1.9849999999999999,1,0,-1,0,0,0,2,2,0
